,zip_code,type,city,county,state,short_state
112,907,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
113,908,PO Box,San Juan,,Puerto Rico,PR
114,909,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
115,910,PO Box,San Juan,,Puerto Rico,PR
116,911,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
117,912,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
118,913,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
119,914,PO Box,San Juan,,Puerto Rico,PR
120,915,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
121,916,PO Box,San Juan,,Puerto Rico,PR
122,917,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
123,918,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
124,919,PO Box,San Juan,,Puerto Rico,PR
125,920,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
126,921,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
127,922,PO Box,San Juan,,Puerto Rico,PR
128,923,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
129,924,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
130,925,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
131,926,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
132,927,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
133,928,PO Box,San Juan,,Puerto Rico,PR
134,929,PO Box,San Juan,San Juan,Puerto Rico,PR
135,930,PO Box,San Juan,,Puerto Rico,PR
136,931,PO Box,San Juan,San Juan,Puerto Rico,PR
137,933,PO Box,San Juan,San Juan,Puerto Rico,PR
138,934,Standard,Fort Buchanan,Guaynabo Municipio,Puerto Rico,PR
139,935,Unique,San Juan,San Juan,Puerto Rico,PR
140,936,PO Box,San Juan,San Juan Municipio,Puerto Rico,PR
141,937,PO Box,San Juan,San Juan,Puerto Rico,PR
142,939,Unique,San Juan,San Juan,Puerto Rico,PR
143,940,PO Box,San Juan,,Puerto Rico,PR
144,949,Standard,Toa Baja,Toa Baja Municipio,Puerto Rico,PR
145,950,PO Box,Toa Baja,Dorado Municipio,Puerto Rico,PR
146,951,PO Box,Toa Baja,Toa Baja Municipio,Puerto Rico,PR
147,952,Standard,Sabana Seca,Toa Baja Municipio,Puerto Rico,PR
148,953,Standard,Toa Alta,Toa Alta Municipio,Puerto Rico,PR
149,954,PO Box,Toa Alta,Toa Alta,Puerto Rico,PR
150,955,PO Box,San Juan,San Juan,Puerto Rico,PR
151,956,Standard,Bayamon,Bayamon Municipio,Puerto Rico,PR
152,957,Standard,Bayamon,Bayamon Municipio,Puerto Rico,PR
153,958,PO Box,Bayamon,Bayamon,Puerto Rico,PR
154,959,Standard,Bayamon,Bayamon Municipio,Puerto Rico,PR
155,960,PO Box,Bayamon,Bayamon Municipio,Puerto Rico,PR
156,961,Standard,Bayamon,Bayamon Municipio,Puerto Rico,PR
157,962,Standard,Catano,Catano Municipio,Puerto Rico,PR
158,963,PO Box,Catano,Catano,Puerto Rico,PR
159,965,Standard,Guaynabo,Guaynabo Municipio,Puerto Rico,PR
160,966,Standard,Guaynabo,Guaynabo Municipio,Puerto Rico,PR
161,968,Standard,Guaynabo,Guaynabo Municipio,Puerto Rico,PR
162,969,Standard,Guaynabo,Guaynabo Municipio,Puerto Rico,PR
163,970,PO Box,Guaynabo,,Puerto Rico,PR
164,971,Standard,Guaynabo,Guaynabo Municipio,Puerto Rico,PR
165,975,Unique,San Juan,San Juan,Puerto Rico,PR
166,976,Standard,Trujillo Alto,Trujillo Alto Municipio,Puerto Rico,PR
167,977,PO Box,Trujillo Alto,,Puerto Rico,PR
168,978,PO Box,Saint Just,San Juan,Puerto Rico,PR
169,979,Standard,Carolina,Carolina Municipio,Puerto Rico,PR
170,981,PO Box,Carolina,Carolina,Puerto Rico,PR
171,982,Standard,Carolina,Carolina Municipio,Puerto Rico,PR
172,983,Standard,Carolina,Carolina Municipio,Puerto Rico,PR
173,984,PO Box,Carolina,Carolina,Puerto Rico,PR
174,985,Standard,Carolina,Carolina Municipio,Puerto Rico,PR
175,986,PO Box,Carolina,Carolina,Puerto Rico,PR
176,987,Standard,Carolina,Carolina Municipio,Puerto Rico,PR
177,988,PO Box,Carolina,Carolina,Puerto Rico,PR
178,1001,Standard,Agawam,Hampden County,Massachusetts,MA
179,1002,Standard,Amherst,Hampshire County,Massachusetts,MA
180,1003,PO Box,Amherst,Hampshire County,Massachusetts,MA
181,1004,PO Box,Amherst,Hampshire County,Massachusetts,MA
182,1005,Standard,Barre,Worcester County,Massachusetts,MA
183,1007,Standard,Belchertown,Hampshire County,Massachusetts,MA
184,1008,Standard,Blandford,Hampden County,Massachusetts,MA
185,1009,PO Box,Bondsville,Hampden County,Massachusetts,MA
186,1010,Standard,Brimfield,Hampden County,Massachusetts,MA
187,1011,Standard,Chester,Hampden County,Massachusetts,MA
188,1012,Standard,Chesterfield,Hampshire County,Massachusetts,MA
189,1013,Standard,Chicopee,Hampden County,Massachusetts,MA
190,1014,PO Box,Chicopee,Hampden County,Massachusetts,MA
191,1020,Standard,Chicopee,Hampden County,Massachusetts,MA
192,1021,PO Box,Chicopee,Hampden County,Massachusetts,MA
193,1022,Standard,Chicopee,Hampden County,Massachusetts,MA
194,1026,Standard,Cummington,Hampshire County,Massachusetts,MA
195,1027,Standard,Easthampton,Hampshire County,Massachusetts,MA
196,1028,Standard,East Longmeadow,Hampden County,Massachusetts,MA
197,1029,PO Box,East Otis,Berkshire County,Massachusetts,MA
198,1030,Standard,Feeding Hills,Hampden County,Massachusetts,MA
199,1031,Standard,Gilbertville,Worcester County,Massachusetts,MA
200,1032,Standard,Goshen,Hampshire County,Massachusetts,MA
201,1033,Standard,Granby,Hampshire County,Massachusetts,MA
202,1034,Standard,Granville,Hampden County,Massachusetts,MA
203,1035,Standard,Hadley,Hampshire County,Massachusetts,MA
204,1036,Standard,Hampden,Hampden County,Massachusetts,MA
205,1037,PO Box,Hardwick,Worcester County,Massachusetts,MA
206,1038,Standard,Hatfield,Hampshire County,Massachusetts,MA
207,1039,Standard,Haydenville,Hampshire County,Massachusetts,MA
208,1040,Standard,Holyoke,Hampden County,Massachusetts,MA
209,1041,PO Box,Holyoke,Hampden County,Massachusetts,MA
210,1050,Standard,Huntington,Hampshire County,Massachusetts,MA
211,1053,Standard,Leeds,Hampshire County,Massachusetts,MA
212,1054,Standard,Leverett,Franklin County,Massachusetts,MA
213,1056,Standard,Ludlow,Hampden County,Massachusetts,MA
214,1057,Standard,Monson,Hampden County,Massachusetts,MA
215,1059,PO Box,North Amherst,Hampshire County,Massachusetts,MA
216,1060,Standard,Northampton,Hampshire County,Massachusetts,MA
217,1061,PO Box,Northampton,Hampshire County,Massachusetts,MA
218,1062,Standard,Florence,Hampshire County,Massachusetts,MA
219,1063,Unique,Northampton,Hampshire County,Massachusetts,MA
220,1066,PO Box,North Hatfield,Hampshire County,Massachusetts,MA
221,1068,Standard,Oakham,Worcester County,Massachusetts,MA
222,1069,Standard,Palmer,Hampden County,Massachusetts,MA
223,1070,Standard,Plainfield,Hampshire County,Massachusetts,MA
224,1071,Standard,Russell,Hampden County,Massachusetts,MA
225,1072,Standard,Shutesbury,Franklin County,Massachusetts,MA
226,1073,Standard,Southampton,Hampshire County,Massachusetts,MA
227,1074,PO Box,South Barre,Worcester County,Massachusetts,MA
228,1075,Standard,South Hadley,Hampshire County,Massachusetts,MA
229,1077,Standard,Southwick,Hampden County,Massachusetts,MA
230,1079,PO Box,Thorndike,Hampden County,Massachusetts,MA
231,1080,Standard,Three Rivers,Hampden County,Massachusetts,MA
232,1081,Standard,Wales,Hampden County,Massachusetts,MA
233,1082,Standard,Ware,Hampshire County,Massachusetts,MA
234,1083,PO Box,Warren,Worcester County,Massachusetts,MA
235,1084,Standard,West Chesterfield,Hampshire County,Massachusetts,MA
236,1085,Standard,Westfield,Hampden County,Massachusetts,MA
237,1086,PO Box,Westfield,Hampden County,Massachusetts,MA
238,1088,Standard,West Hatfield,Hampshire County,Massachusetts,MA
239,1089,Standard,West Springfield,Hampden County,Massachusetts,MA
240,1090,PO Box,West Springfield,Hampden County,Massachusetts,MA
241,1092,PO Box,West Warren,Worcester County,Massachusetts,MA
242,1093,PO Box,Whately,Franklin County,Massachusetts,MA
243,1094,PO Box,Wheelwright,Worcester County,Massachusetts,MA
244,1095,Standard,Wilbraham,Hampden County,Massachusetts,MA
245,1096,Standard,Williamsburg,Hampshire County,Massachusetts,MA
246,1097,PO Box,Woronoco,Hampden County,Massachusetts,MA
247,1098,Standard,Worthington,Hampshire County,Massachusetts,MA
248,1101,PO Box,Springfield,Hampden County,Massachusetts,MA
249,1102,PO Box,Springfield,Hampden County,Massachusetts,MA
250,1103,Standard,Springfield,Hampden County,Massachusetts,MA
251,1104,Standard,Springfield,Hampden County,Massachusetts,MA
252,1105,Standard,Springfield,Hampden County,Massachusetts,MA
253,1106,Standard,Longmeadow,Hampden County,Massachusetts,MA
254,1107,Standard,Springfield,Hampden County,Massachusetts,MA
255,1108,Standard,Springfield,Hampden County,Massachusetts,MA
256,1109,Standard,Springfield,Hampden County,Massachusetts,MA
257,1111,Unique,Springfield,Hampden County,Massachusetts,MA
258,1115,PO Box,Springfield,Hampden County,Massachusetts,MA
259,1116,PO Box,Longmeadow,Hampden County,Massachusetts,MA
260,1118,Standard,Springfield,Hampden County,Massachusetts,MA
261,1119,Standard,Springfield,Hampden County,Massachusetts,MA
262,1128,Standard,Springfield,Hampden County,Massachusetts,MA
263,1129,Standard,Springfield,Hampden County,Massachusetts,MA
264,1133,Unique,Springfield,Hampden County,Massachusetts,MA
265,1138,PO Box,Springfield,Hampden County,Massachusetts,MA
266,1139,PO Box,Springfield,Hampden County,Massachusetts,MA
267,1144,Standard,Springfield,Hampden County,Massachusetts,MA
268,1151,Standard,Indian Orchard,Hampden County,Massachusetts,MA
269,1152,Standard,Springfield,Hampden County,Massachusetts,MA
270,1195,Standard,Springfield,Hampden County,Massachusetts,MA
271,1199,Unique,Springfield,Hampden County,Massachusetts,MA
272,1201,Standard,Pittsfield,Berkshire County,Massachusetts,MA
273,1202,PO Box,Pittsfield,Berkshire County,Massachusetts,MA
274,1203,PO Box,Pittsfield,Berkshire County,Massachusetts,MA
275,1220,Standard,Adams,Berkshire County,Massachusetts,MA
276,1222,Standard,Ashley Falls,Berkshire County,Massachusetts,MA
277,1223,Standard,Becket,Berkshire County,Massachusetts,MA
278,1224,Standard,Berkshire,Berkshire County,Massachusetts,MA
279,1225,Standard,Cheshire,Berkshire County,Massachusetts,MA
280,1226,Standard,Dalton,Berkshire County,Massachusetts,MA
281,1227,PO Box,Dalton,Berkshire County,Massachusetts,MA
282,1229,PO Box,Glendale,Berkshire County,Massachusetts,MA
283,1230,Standard,Great Barrington,Berkshire County,Massachusetts,MA
284,1235,Standard,Hinsdale,Berkshire County,Massachusetts,MA
285,1236,Standard,Housatonic,Berkshire County,Massachusetts,MA
286,1237,Standard,Lanesboro,Berkshire County,Massachusetts,MA
287,1238,Standard,Lee,Berkshire County,Massachusetts,MA
288,1240,Standard,Lenox,Berkshire County,Massachusetts,MA
289,1242,PO Box,Lenox Dale,Berkshire County,Massachusetts,MA
290,1243,PO Box,Middlefield,Hampshire County,Massachusetts,MA
291,1244,PO Box,Mill River,Berkshire County,Massachusetts,MA
292,1245,Standard,Monterey,Berkshire County,Massachusetts,MA
293,1247,Standard,North Adams,Berkshire County,Massachusetts,MA
294,1252,PO Box,North Egremont,Berkshire County,Massachusetts,MA
295,1253,Standard,Otis,Berkshire County,Massachusetts,MA
296,1254,Standard,Richmond,Berkshire County,Massachusetts,MA
297,1255,Standard,Sandisfield,Berkshire County,Massachusetts,MA
298,1256,Standard,Savoy,Berkshire County,Massachusetts,MA
299,1257,Standard,Sheffield,Berkshire County,Massachusetts,MA
300,1258,Standard,South Egremont,Berkshire County,Massachusetts,MA
301,1259,Standard,Southfield,Berkshire County,Massachusetts,MA
302,1260,PO Box,South Lee,Berkshire County,Massachusetts,MA
303,1262,PO Box,Stockbridge,Berkshire County,Massachusetts,MA
304,1263,Unique,Stockbridge,Berkshire County,Massachusetts,MA
305,1264,PO Box,Tyringham,Berkshire County,Massachusetts,MA
306,1266,Standard,West Stockbridge,Berkshire County,Massachusetts,MA
307,1267,Standard,Williamstown,Berkshire County,Massachusetts,MA
308,1270,Standard,Windsor,Berkshire County,Massachusetts,MA
309,1301,Standard,Greenfield,Franklin County,Massachusetts,MA
310,1302,PO Box,Greenfield,Franklin County,Massachusetts,MA
311,1330,Standard,Ashfield,Franklin County,Massachusetts,MA
312,1331,Standard,Athol,Worcester County,Massachusetts,MA
313,1337,Standard,Bernardston,Franklin County,Massachusetts,MA
314,1338,Standard,Buckland,Franklin County,Massachusetts,MA
315,1339,Standard,Charlemont,Franklin County,Massachusetts,MA
316,1340,Standard,Colrain,Franklin County,Massachusetts,MA
317,1341,Standard,Conway,Franklin County,Massachusetts,MA
318,1342,Standard,Deerfield,Franklin County,Massachusetts,MA
319,1343,Standard,Drury,Berkshire County,Massachusetts,MA
320,1344,Standard,Erving,Franklin County,Massachusetts,MA
321,1346,Standard,Heath,Franklin County,Massachusetts,MA
322,1347,PO Box,Lake Pleasant,Franklin County,Massachusetts,MA
323,1349,Standard,Millers Falls,Franklin County,Massachusetts,MA
324,1350,PO Box,Monroe Bridge,Franklin County,Massachusetts,MA
325,1351,Standard,Montague,Franklin County,Massachusetts,MA
326,1354,Standard,Gill,Franklin County,Massachusetts,MA
327,1355,Standard,New Salem,Franklin County,Massachusetts,MA
328,1360,Standard,Northfield,Franklin County,Massachusetts,MA
329,1364,Standard,Orange,Franklin County,Massachusetts,MA
330,1366,Standard,Petersham,Worcester County,Massachusetts,MA
331,1367,Standard,Rowe,Franklin County,Massachusetts,MA
332,1368,Standard,Royalston,Worcester County,Massachusetts,MA
333,1370,Standard,Shelburne Falls,Franklin County,Massachusetts,MA
334,1373,Standard,South Deerfield,Franklin County,Massachusetts,MA
335,1375,Standard,Sunderland,Franklin County,Massachusetts,MA
336,1376,Standard,Turners Falls,Franklin County,Massachusetts,MA
337,1378,Standard,Warwick,Franklin County,Massachusetts,MA
338,1379,Standard,Wendell,Franklin County,Massachusetts,MA
339,1380,Standard,Wendell Depot,Franklin County,Massachusetts,MA
340,1420,Standard,Fitchburg,Worcester County,Massachusetts,MA
341,1430,Standard,Ashburnham,Worcester County,Massachusetts,MA
342,1431,Standard,Ashby,Middlesex County,Massachusetts,MA
343,1432,Standard,Ayer,Middlesex County,Massachusetts,MA
344,1434,Standard,Devens,Worcester County,Massachusetts,MA
345,1436,Standard,Baldwinville,Worcester County,Massachusetts,MA
346,1438,PO Box,East Templeton,Worcester County,Massachusetts,MA
347,1440,Standard,Gardner,Worcester County,Massachusetts,MA
348,1441,Unique,Westminster,Worcester County,Massachusetts,MA
349,1450,Standard,Groton,Middlesex County,Massachusetts,MA
350,1451,Standard,Harvard,Worcester County,Massachusetts,MA
351,1452,Standard,Hubbardston,Worcester County,Massachusetts,MA
352,1453,Standard,Leominster,Worcester County,Massachusetts,MA
353,1460,Standard,Littleton,Middlesex County,Massachusetts,MA
354,1462,Standard,Lunenburg,Worcester County,Massachusetts,MA
355,1463,Standard,Pepperell,Middlesex County,Massachusetts,MA
356,1464,Standard,Shirley,Middlesex County,Massachusetts,MA
357,1467,PO Box,Still River,Worcester County,Massachusetts,MA
358,1468,Standard,Templeton,Worcester County,Massachusetts,MA
359,1469,Standard,Townsend,Middlesex County,Massachusetts,MA
360,1470,Unique,Groton,Middlesex County,Massachusetts,MA
361,1471,Unique,Groton,Middlesex County,Massachusetts,MA
362,1472,PO Box,West Groton,Middlesex County,Massachusetts,MA
363,1473,Standard,Westminster,Worcester County,Massachusetts,MA
364,1474,Standard,West Townsend,Middlesex County,Massachusetts,MA
365,1475,Standard,Winchendon,Worcester County,Massachusetts,MA
366,1477,PO Box,Winchendon Springs,Worcester County,Massachusetts,MA
367,1501,Standard,Auburn,Worcester County,Massachusetts,MA
368,1503,Standard,Berlin,Worcester County,Massachusetts,MA
369,1504,Standard,Blackstone,Worcester County,Massachusetts,MA
370,1505,Standard,Boylston,Worcester County,Massachusetts,MA
371,1506,Standard,Brookfield,Worcester County,Massachusetts,MA
372,1507,Standard,Charlton,Worcester County,Massachusetts,MA
373,1508,PO Box,Charlton City,Worcester County,Massachusetts,MA
374,1509,PO Box,Charlton Depot,Worcester County,Massachusetts,MA
375,1510,Standard,Clinton,Worcester County,Massachusetts,MA
376,1515,Standard,East Brookfield,Worcester County,Massachusetts,MA
377,1516,Standard,Douglas,Worcester County,Massachusetts,MA
378,1517,PO Box,East Princeton,Worcester County,Massachusetts,MA
379,1518,Standard,Fiskdale,Worcester County,Massachusetts,MA
380,1519,Standard,Grafton,Worcester County,Massachusetts,MA
381,1520,Standard,Holden,Worcester County,Massachusetts,MA
382,1521,Standard,Holland,Hampden County,Massachusetts,MA
383,1522,Standard,Jefferson,Worcester County,Massachusetts,MA
384,1523,Standard,Lancaster,Worcester County,Massachusetts,MA
385,1524,Standard,Leicester,Worcester County,Massachusetts,MA
386,1525,PO Box,Linwood,Worcester County,Massachusetts,MA
387,1526,PO Box,Manchaug,Worcester County,Massachusetts,MA
388,1527,Standard,Millbury,Worcester County,Massachusetts,MA
389,1529,Standard,Millville,Worcester County,Massachusetts,MA
390,1531,Standard,New Braintree,Worcester County,Massachusetts,MA
391,1532,Standard,Northborough,Worcester County,Massachusetts,MA
392,1534,Standard,Northbridge,Worcester County,Massachusetts,MA
393,1535,Standard,North Brookfield,Worcester County,Massachusetts,MA
394,1536,Standard,North Grafton,Worcester County,Massachusetts,MA
395,1537,Standard,North Oxford,Worcester County,Massachusetts,MA
396,1538,PO Box,North Uxbridge,Worcester County,Massachusetts,MA
397,1540,Standard,Oxford,Worcester County,Massachusetts,MA
398,1541,Standard,Princeton,Worcester County,Massachusetts,MA
399,1542,Standard,Rochdale,Worcester County,Massachusetts,MA
400,1543,Standard,Rutland,Worcester County,Massachusetts,MA
401,1545,Standard,Shrewsbury,Worcester County,Massachusetts,MA
402,1546,Unique,Shrewsbury,Worcester County,Massachusetts,MA
403,1550,Standard,Southbridge,Worcester County,Massachusetts,MA
404,1560,Standard,South Grafton,Worcester County,Massachusetts,MA
405,1561,PO Box,South Lancaster,Worcester County,Massachusetts,MA
406,1562,Standard,Spencer,Worcester County,Massachusetts,MA
407,1564,Standard,Sterling,Worcester County,Massachusetts,MA
408,1566,Standard,Sturbridge,Worcester County,Massachusetts,MA
409,1568,Standard,Upton,Worcester County,Massachusetts,MA
410,1569,Standard,Uxbridge,Worcester County,Massachusetts,MA
411,1570,Standard,Webster,Worcester County,Massachusetts,MA
412,1571,Standard,Dudley,Worcester County,Massachusetts,MA
413,1580,Unique,Westborough,Worcester County,Massachusetts,MA
414,1581,Standard,Westborough,Worcester County,Massachusetts,MA
415,1582,Unique,Westborough,Worcester County,Massachusetts,MA
416,1583,Standard,West Boylston,Worcester County,Massachusetts,MA
417,1585,Standard,West Brookfield,Worcester County,Massachusetts,MA
418,1586,PO Box,West Millbury,Worcester County,Massachusetts,MA
419,1588,Standard,Whitinsville,Worcester County,Massachusetts,MA
420,1590,Standard,Sutton,Worcester County,Massachusetts,MA
421,1601,PO Box,Worcester,Worcester County,Massachusetts,MA
422,1602,Standard,Worcester,Worcester County,Massachusetts,MA
423,1603,Standard,Worcester,Worcester County,Massachusetts,MA
424,1604,Standard,Worcester,Worcester County,Massachusetts,MA
425,1605,Standard,Worcester,Worcester County,Massachusetts,MA
426,1606,Standard,Worcester,Worcester County,Massachusetts,MA
427,1607,Standard,Worcester,Worcester County,Massachusetts,MA
428,1608,Standard,Worcester,Worcester County,Massachusetts,MA
429,1609,Standard,Worcester,Worcester County,Massachusetts,MA
430,1610,Standard,Worcester,Worcester County,Massachusetts,MA
431,1611,Standard,Cherry Valley,Worcester County,Massachusetts,MA
432,1612,Standard,Paxton,Worcester County,Massachusetts,MA
433,1613,PO Box,Worcester,Worcester County,Massachusetts,MA
434,1614,PO Box,Worcester,Worcester County,Massachusetts,MA
435,1615,PO Box,Worcester,Worcester County,Massachusetts,MA
436,1653,Unique,Worcester,Worcester County,Massachusetts,MA
437,1654,Unique,Worcester,Worcester County,Massachusetts,MA
